Measure Mode: wall_time
Thread ID: 70212782282580
Fiber ID: 70212755826020
Total: 0.678676
Sort by: self_time

 %self      total      self      wait     child     calls  name
  2.36      0.052     0.016     0.000     0.036     7081   ActiveRecord::AttributeMethods::Read#read_attribute 
  2.34      0.049     0.016     0.000     0.033     5843  *Hash#fetch 
  1.74      0.068     0.012     0.000     0.056      717   ActiveRecord::Relation::Merger#merge_multi_values 
  1.68      0.036     0.011     0.000     0.024     3137   ActiveRecord::AttributeMethods#[] 
  1.66      0.012     0.011     0.000     0.001      571   SQLite3::Statement#step 
  1.66      0.012     0.011     0.000     0.001      825   Arel::Nodes::Binary#initialize 
  1.53      0.068     0.010     0.000     0.058     2232   ActiveRecord::Associations#association 
  1.14      0.014     0.008     0.000     0.006     3281   ActiveRecord::Reflection::ClassMethods#_reflect_on_association 
  1.14      0.124     0.008     0.000     0.116      361  *Array#map 
  1.09      0.007     0.007     0.000     0.000     1348   ActiveRecord::Relation#initialize 
  1.06      0.012     0.007     0.000     0.004     2999   ThreadSafe::Cache#[] 
  0.94      0.006     0.006     0.000     0.000    10876   NilClass#nil? 
  0.90      0.012     0.006     0.000     0.006     1545   ActiveRecord::ConnectionAdapters::Column#type_cast 
  0.89      0.011     0.006     0.000     0.005     2318   ActiveSupport::PerThreadRegistry#instance 
  0.86      0.017     0.006     0.000     0.011      717   ActiveRecord::Relation::Merger#merge_single_values 
  0.85      0.006     0.006     0.000     0.000      195   Module#module_eval 
  0.82      0.019     0.006     0.000     0.014     3336   #<Module:0x007fb75fac5c88>#__temp__9646 
  0.79      0.026     0.005     0.000     0.020     3234   ActiveRecord::Core#hash 
  0.79      0.005     0.005     0.000     0.000    10668   Kernel#class 
  0.75      0.005     0.005     0.000     0.000     8858   String#to_s 
  0.73      0.022     0.005     0.000     0.017     1010   ActiveRecord::Associations::BelongsToAssociation#stale_state 
  0.69      0.005     0.005     0.000     0.000     7935   Kernel#hash 
  0.65      0.004     0.004     0.000     0.000     3033   ThreadSafe::NonConcurrentCacheBackend#[] 
  0.65      0.047     0.004     0.000     0.043      509   ActiveRecord::Core#init_with 
  0.64      0.119     0.004     0.000     0.115      717   ActiveRecord::Relation::Merger#merge 
  0.64      0.028     0.004     0.000     0.024     3278  *ActiveRecord::Reflection::AssociationReflection#klass 
  0.64      0.005     0.004     0.000     0.001      509   ActiveRecord::Core#init_internals 
  0.61      0.005     0.004     0.000     0.001     1348   ActiveRecord::Delegation::DelegateCache#relation_delegate_class 
  0.59      0.011     0.004     0.000     0.007     1018   ActiveSupport::Callbacks#run_callbacks 
  0.59      0.004     0.004     0.000     0.000     3545   ActiveRecord::Reflection::AssociationReflection#foreign_key 
  0.58      0.043     0.004     0.000     0.039     1012   ActiveRecord::Associations::Association#initialize 
  0.57      0.024     0.004     0.000     0.020      834   ActiveRecord::Core::ClassMethods#relation 
  0.55      0.004     0.004     0.000     0.000     4857   Module#=== 
  0.53      0.006     0.004     0.000     0.002     1317   Fixnum#to_s 
  0.53      0.131     0.004     0.000     0.127      717   ActiveRecord::SpawnMethods#merge! 
  0.50      0.019     0.003     0.000     0.016        4   <Module::Kernel>#load 
  0.49      0.020     0.003     0.000     0.017     2531   ActiveRecord::Reflection::AssociationReflection#inverse_name 
  0.49      0.033     0.003     0.000     0.030      951   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection 
  0.48      0.010     0.003     0.000     0.007      879   Array#map! 
  0.48      0.003     0.003     0.000     0.000      717   ActiveRecord::QueryMethods#from_value= 
  0.48      0.003     0.003     0.000     0.000     1012   ActiveRecord::Associations::Association#reset 
  0.48      0.010     0.003     0.000     0.007     1439   ActiveRecord::Reflection::ThroughReflection#through_reflection 
  0.48      0.014     0.003     0.000     0.011     2036   ActiveRecord::Associations::Association#klass 
  0.47      0.003     0.003     0.000     0.000     3712   Kernel#is_a? 
  0.46      0.003     0.003     0.000     0.000     2232   ActiveRecord::Associations#association_instance_get 
  0.46      0.019     0.003     0.000     0.016     1216   ActiveRecord::Associations::Association#loaded! 
  0.46      0.008     0.003     0.000     0.005     1348   ActiveRecord::Delegation::ClassMethods#relation_class_for 
  0.46      0.003     0.003     0.000     0.000      518   ActiveRecord::Relation#reset 
  0.45      0.014     0.003     0.000     0.011      207   ActiveRecord::QueryMethods#where 
