Measure Mode: wall_time
Thread ID: 70212817918080
Fiber ID: 70212812661460
Total: 0.091663
Sort by: self_time

 %self      total      self      wait     child     calls  name
  6.38      0.006     0.006     0.000     0.000      235   SQLite3::Statement#step 
  4.67      0.013     0.004     0.000     0.008     2690  *Hash#fetch 
  3.46      0.014     0.003     0.000     0.010     1616   ActiveRecord::AttributeMethods::Read#read_attribute 
  3.19      0.033     0.003     0.000     0.030       83  *Array#map 
  2.64      0.003     0.002     0.000     0.001      202   ActiveRecord::Core#init_internals 
  2.47      0.018     0.002     0.000     0.015      202   ActiveRecord::Core#init_with 
  2.46      0.015     0.002     0.000     0.013        4   <Module::Kernel>#load 
  2.26      0.006     0.002     0.000     0.004      404   ActiveSupport::Callbacks#run_callbacks 
  1.76      0.002     0.002     0.000     0.000     3198   Kernel#class 
  1.64      0.002     0.002     0.000     0.000       60   Module#module_eval 
  1.64      0.002     0.002     0.000     0.000      612   ActiveRecord::ConnectionAdapters::Column#type_cast 
  1.56      0.012     0.001     0.000     0.010      404   ActiveModel::AttributeMethods#method_missing 
  1.47      0.005     0.001     0.000     0.004      404   ActiveModel::AttributeMethods#match_attribute_method? 
  1.44      0.014     0.001     0.000     0.013      404   ActiveRecord::AttributeMethods#method_missing 
  1.37      0.006     0.001     0.000     0.005      808   #<Module:0x007fb75fac5c88>#__temp__9646 
  1.23      0.023     0.001     0.000     0.022      202   ActiveRecord::Persistence::ClassMethods#instantiate 
  1.20      0.050     0.001     0.000     0.049      350  *Array#each 
  1.15      0.002     0.001     0.000     0.001       95   Module#class_eval 
  1.09      0.001     0.001     0.000     0.000     1064   Symbol#to_s 
  1.07      0.001     0.001     0.000     0.000      709   String#sub! 
  1.03      0.003     0.001     0.000     0.002      606   ActiveRecord::AttributeMethods::Read::ClassMethods#cache_attribute? 
  0.92      0.004     0.001     0.000     0.003      404   ActiveModel::AttributeMethods#attribute_missing 
  0.84      0.001     0.001     0.000     0.000     1744   String#to_s 
  0.84      0.001     0.001     0.000     0.000      808   Global#respond_to_without_attributes? 
  0.78      0.001     0.001     0.000     0.000      619   Set#include? 
  0.75      0.001     0.001     0.000     0.001      404   ActiveRecord::AttributeMethods::PrimaryKey#attribute_method? 
