Measure Mode: wall_time
Thread ID: 70212763973840
Fiber ID: 70212781748700
Total: 0.473946
Sort by: self_time

 %self      total      self      wait     child     calls  name
  2.91      0.045     0.014     0.000     0.031     7081   ActiveRecord::AttributeMethods::Read#read_attribute 
  2.77      0.038     0.013     0.000     0.025     5787  *Hash#fetch 
  1.93      0.053     0.009     0.000     0.044     2232   ActiveRecord::Associations#association 
  1.73      0.046     0.008     0.000     0.038      717   ActiveRecord::Relation::Merger#merge_multi_values 
  1.66      0.010     0.008     0.002     0.000        4   ActiveRecord::Associations::Preloader#preloader_for 
  1.33      0.115     0.006     0.000     0.109      264  *Array#map 
  1.21      0.010     0.006     0.000     0.005     3266   ActiveRecord::Reflection::ClassMethods#_reflect_on_association 
  1.19      0.006     0.006     0.000     0.000    10653   Kernel#class 
  1.15      0.019     0.005     0.000     0.014     3336   #<Module:0x007fb75fac5c88>#__temp__9646 
  1.10      0.026     0.005     0.000     0.021     3234   ActiveRecord::Core#hash 
  1.09      0.011     0.005     0.000     0.006     1524   ActiveRecord::ConnectionAdapters::Column#type_cast 
  1.07      0.008     0.005     0.000     0.003     2860   ThreadSafe::Cache#[] 
  1.02      0.006     0.005     0.000     0.001      509   ActiveRecord::Core#init_internals 
  1.01      0.032     0.005     0.000     0.027      509   ActiveRecord::Core#init_with 
  0.99      0.005     0.005     0.000     0.000    10845   NilClass#nil? 
  0.93      0.013     0.004     0.000     0.008     1018   ActiveSupport::Callbacks#run_callbacks 
  0.92      0.004     0.004     0.000     0.000     7893   Kernel#hash 
  0.92      0.004     0.004     0.000     0.000     8660   String#to_s 
  0.90      0.004     0.004     0.000     0.000     1344   ActiveRecord::Relation#initialize 
  0.82      0.027     0.004     0.000     0.023     3137   ActiveRecord::AttributeMethods#[] 
  0.82      0.009     0.004     0.000     0.005      717   ActiveRecord::Relation::Merger#merge_single_values 
  0.82      0.007     0.004     0.000     0.003     2218   ActiveSupport::PerThreadRegistry#instance 
  0.77      0.004     0.004     0.000     0.001      513   SQLite3::Statement#step 
  0.76      0.030     0.004     0.000     0.026     1012   ActiveRecord::Associations::Association#initialize 
  0.70      0.003     0.003     0.000     0.000     1012   ActiveRecord::Reflection::AssociationReflection#association_class 
  0.70      0.015     0.003     0.000     0.012     1010   ActiveRecord::Associations::BelongsToAssociation#stale_state 
  0.69      0.080     0.003     0.000     0.077      717   ActiveRecord::Relation::Merger#merge 
  0.67      0.007     0.003     0.000     0.004     3272   ActiveRecord::Reflection::AssociationReflection#klass 
  0.66      0.014     0.003     0.000     0.010     2531   ActiveRecord::Reflection::AssociationReflection#inverse_name 
  0.65      0.003     0.003     0.000     0.000     3545   ActiveRecord::Reflection::AssociationReflection#foreign_key 
  0.64      0.004     0.003     0.000     0.001     1344   ActiveRecord::Delegation::DelegateCache#relation_delegate_class 
  0.63      0.003     0.003     0.000     0.000     2868   ThreadSafe::NonConcurrentCacheBackend#[] 
  0.62      0.003     0.003     0.000     0.000     1012   ActiveRecord::Associations::Association#reset 
  0.60      0.003     0.003     0.000     0.000     4721   Module#=== 
  0.57      0.003     0.003     0.000     0.000     2232   ActiveRecord::Associations#association_instance_get 
  0.57      0.088     0.003     0.000     0.085      717   ActiveRecord::SpawnMethods#merge! 
  0.57      0.014     0.003     0.000     0.012      834   ActiveRecord::Core::ClassMethods#relation 
  0.56      0.004     0.003     0.000     0.002     1317   Fixnum#to_s 
  0.56      0.005     0.003     0.000     0.002     2036   ActiveRecord::Associations::Association#klass 
  0.54      0.008     0.003     0.000     0.006      404   ActiveRecord::AttributeMethods#respond_to? 
  0.54      0.014     0.003     0.000     0.011     1216   ActiveRecord::Associations::Association#loaded! 
  0.53      0.007     0.003     0.000     0.004     1524   ActiveRecord::AttributeMethods::Read::ClassMethods#cache_attribute? 
  0.53      0.004     0.003     0.000     0.002     1115   <Class::ActiveRecord::ConnectionAdapters::Column>#value_to_integer 
  0.52      0.008     0.002     0.000     0.005     1516   ActiveRecord::Reflection::AssociationReflection#inverse_of 
  0.50      0.024     0.002     0.000     0.021      939   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection 
  0.50      0.043     0.002     0.000     0.040      509   ActiveRecord::Persistence::ClassMethods#instantiate 
  0.50      0.002     0.002     0.000     0.000      518   ActiveRecord::Relation#reset 
  0.49      0.015     0.002     0.000     0.013     1012   ActiveRecord::Reflection::AssociationReflection#check_validity_of_inverse! 
  0.49      0.008     0.002     0.000     0.005      764   Array#map! 
  0.48      0.034     0.002     0.000     0.032      808   ActiveRecord::Associations::Association#set_inverse_instance 
  0.47      0.002     0.002     0.000     0.000     4215   Symbol#== 
  0.45      0.002     0.002     0.000     0.000     3604   Kernel#is_a? 
  0.44      0.011     0.002     0.000     0.009      948   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool 
  0.44      0.003     0.002     0.000     0.000      825   Arel::Nodes::Binary#initialize 
  0.43      0.010     0.002     0.000     0.008      815   ActiveRecord::Reflection::ThroughReflection#source_reflection 
  0.43      0.002     0.002     0.000     0.000     2226   Thread#[] 
  0.43      0.007     0.002     0.000     0.005     1432   ActiveRecord::Reflection::ThroughReflection#through_reflection 
  0.43      0.006     0.002     0.000     0.004      518   ActiveRecord::Relation#initialize_copy 
  0.42      0.002     0.002     0.000     0.000     4081   Symbol#to_sym 
  0.42      0.226     0.002     0.000     0.224     5395  *Class#new 
  0.41      0.002     0.002     0.000     0.000     2256   NilClass#blank? 
  0.40      0.007     0.002     0.000     0.006      948   <Class::ActiveRecord::Base>#connection_handler 
  0.40      0.015     0.002     0.000     0.013       24   Array#uniq 
  0.39      0.002     0.002     0.000     0.000     3686   Kernel#nil? 
  0.38      0.006     0.002     0.000     0.004     1344   ActiveRecord::Delegation::ClassMethods#relation_class_for 
